N,threads,tempo_sequencial,tempo_concorrente,aceleracao,eficiencia,primos_encontrados
10000,8,0.000883,0.001288,0.685455,0.085682,1229
10000,8,0.000834,0.001419,0.587814,0.073477,1229
10000,8,0.000886,0.001232,0.718843,0.089855,1229
10000,8,0.000887,0.001347,0.658637,0.082330,1229
10000,8,0.000868,0.001230,0.705406,0.088176,1229
10000,8,0.000872,0.001341,0.650771,0.081346,1229
10000,8,0.000796,0.001382,0.576153,0.072019,1229
10000,8,0.000795,0.001366,0.581984,0.072748,1229
10000,8,0.000838,0.001235,0.678479,0.084810,1229
10000,8,0.000796,0.001397,0.570181,0.071273,1229
10000,8,0.000822,0.001376,0.597310,0.074664,1229
10000,8,0.000825,0.001364,0.605052,0.075632,1229
10000,8,0.000829,0.001413,0.586922,0.073365,1229
10000,8,0.000943,0.001215,0.775720,0.096965,1229
10000,8,0.000910,0.001376,0.661286,0.082661,1229
10000,8,0.000842,0.001311,0.641973,0.080247,1229
10000,8,0.001042,0.001228,0.848051,0.106006,1229
10000,8,0.000856,0.001291,0.663510,0.082939,1229
10000,8,0.000885,0.001386,0.638348,0.079793,1229
10000,8,0.000960,0.001230,0.780507,0.097563,1229
10000,8,0.000817,0.001400,0.584007,0.073001,1229
10000,8,0.000828,0.001151,0.719278,0.089910,1229
10000,8,0.000887,0.001237,0.717102,0.089638,1229
10000,8,0.000903,0.001323,0.682744,0.085343,1229
10000,8,0.000945,0.001368,0.691072,0.086384,1229
10000,8,0.000997,0.001239,0.804165,0.100521,1229
10000,8,0.000819,0.001352,0.606125,0.075766,1229
10000,8,0.000868,0.001391,0.623633,0.077954,1229
